,libellefrancais,domanialite,circonferenceencm,hauteurenm,espece,latitude,longitude,stadedeveloppement_A,stadedeveloppement_J,stadedeveloppement_JA,stadedeveloppement_M
0,Platane,Alignement,35.0,5.0,x hispanica,48.8966273942,2.39279835434,0,1,0,0
2,Erable,Alignement,35.0,4.0,campestre,48.8997481873,2.38110864573,0,1,0,0
7,Marronnier,Alignement,75.0,10.0,x carnea,48.8963412635,2.3783694615,0,0,1,0
10,Erable,Alignement,120.0,10.0,pseudoplatanus,48.8905926639,2.39900259689,1,0,0,0
11,Fevier,Alignement,35.0,5.0,triacanthos f. Inermis,48.8984559426,2.37093454668,0,1,0,0
12,Platane,Alignement,190.0,20.0,x hispanica,48.9015630435,2.38655184724,0,0,0,1
13,Sophora,Alignement,40.0,5.0,japonica,48.875522231,2.39629741677,0,1,0,0
14,Platane,DASCO,110.0,11.0,x hispanica,48.8760044998,2.37770789131,1,0,0,0
15,Micocoulier,Alignement,145.0,20.0,australis,48.8922227868,2.38512524892,1,0,0,0
16,Peuplier,Alignement,115.0,25.0,x canadensis,48.8861220507,2.37640659054,1,0,0,0
17,Pin,Jardin,35.0,2.0,pinea,48.8900470793,2.397605939139999,0,1,0,0
19,Robinier,Alignement,140.0,15.0,pseudoacacia,48.8794620795,2.37739833073,1,0,0,0
21,Erable,Alignement,40.0,5.0,monspessulanum,48.885631946299995,2.365935677939999,0,1,0,0
24,Platane,Alignement,165.0,20.0,x hispanica,48.8796359989,2.38974113163,1,0,0,0
26,Platane,Alignement,30.0,5.0,x hispanica,48.884691625799995,2.3919342165199993,0,1,0,0
28,Tulipier,Alignement,45.0,10.0,tulipifera,48.8874334151,2.3936639781,0,1,0,0
29,Platane,Alignement,150.0,15.0,x hispanica,48.8868987853,2.39799839978,1,0,0,0
30,Alisier,Alignement,45.0,5.0,intermedia,48.8848220998,2.38144939474,0,1,0,0
31,Platane,Alignement,20.0,5.0,x hispanica,48.8829053887,2.38876285216,0,1,0,0
33,Sophora,Alignement,140.0,15.0,japonica,48.8727186844,2.37647947816,1,0,0,0
34,Platane,Alignement,255.0,20.0,orientalis,48.87640435669999,2.37511221167,1,0,0,0
35,Marronnier,Jardin,110.0,10.0,hippocastanum,48.873079387,2.376839858759999,1,0,0,0
38,Erable,Alignement,90.0,12.0,cappadocicum,48.8832058578,2.37037994092,1,0,0,0
39,Cerisier à fleurs,DJS,35.0,6.0,x yedoensis,48.893920748,2.3961273319,0,1,0,0
41,Sophora,Alignement,135.0,15.0,japonica,48.8901327701,2.37614213423,1,0,0,0
43,Platane,Alignement,200.0,20.0,x hispanica,48.8826792286,2.37707975506,0,0,0,1
46,Micocoulier,PERIPHERIQUE,69.0,7.0,australis,48.8870959968,2.39652434877,0,1,0,0
47,Platane,Alignement,5.0,5.0,x hispanica,48.8857598158,2.39359389835,0,0,1,0
48,Fevier,Jardin,75.0,15.0,triacanthos f. Inermis,48.8879119377,2.3944232351,0,0,1,0
50,Platane,Alignement,60.0,5.0,orientalis,48.8861879502,2.39610152942,0,1,0,0
53,Marronnier,DASCO,165.0,12.0,hippocastanum,48.8797569822,2.37399295158,1,0,0,0
56,Marronnier,Alignement,45.0,5.0,x carnea,48.87861827969999,2.4008703801599998,0,1,0,0
58,Copalme,Alignement,70.0,10.0,styraciflua,48.885620745299995,2.39003895833,0,0,1,0
59,Fevier,Alignement,85.0,10.0,triacanthos f. Inermis,48.8851813088,2.39221600182,0,0,1,0
64,Marronnier,Alignement,160.0,15.0,hippocastanum,48.8805992883,2.37395045583,1,0,0,0
65,Peuplier,Alignement,85.0,15.0,nigra,48.8832191566,2.369596759159999,1,0,0,0
66,Poirier à fleurs,Alignement,30.0,5.0,calleryana,48.8788497464,2.3949545819,0,0,1,0
67,Platane,Alignement,90.0,20.0,x hispanica,48.8784872519,2.37546148746,0,0,1,0
70,Pin,DASCO,90.0,9.0,nigra subsp. nigra,48.89004502739999,2.37393562412,0,0,1,0
71,Erable,DJS,185.0,15.0,platanoides,48.8854018285,2.39873981896,1,0,0,0
72,Micocoulier,Alignement,75.0,10.0,australis,48.892901994,2.379635504799999,1,0,0,0
74,Platane,Alignement,35.0,5.0,x hispanica,48.8987565164,2.3792827578,0,1,0,0
75,Platane,DASCO,120.0,15.0,x hispanica,48.8825149104,2.37682185819,1,0,0,0
77,Platane,Alignement,80.0,15.0,orientalis,48.8780351325,2.3740721553,1,0,0,0
79,Platane,Alignement,120.0,16.0,x hispanica,48.8988622323,2.37044794188,1,0,0,0
81,Micocoulier,Alignement,75.0,7.0,australis,48.89279889569999,2.37950177779,0,0,1,0
82,Robinier,Alignement,115.0,15.0,pseudoacacia,48.892855350299996,2.3782144102,1,0,0,0
83,Erable,Alignement,50.0,5.0,platanoides,48.8906433544,2.37584080433,0,1,0,0
84,Sophora,Alignement,160.0,15.0,japonica,48.8942428486,2.39457266585,1,0,0,0
86,Pin,DASCO,80.0,10.0,nigra subsp. nigra,48.8943372098,2.37573871858,0,0,1,0
87,Chêne,Alignement,70.0,10.0,ilex,48.8839508028,2.39494054615,1,0,0,0
90,Marronnier,Alignement,125.0,10.0,hippocastanum,48.8949865537,2.37206114801,1,0,0,0
91,Poirier à fleurs,PERIPHERIQUE,15.0,3.0,calleryana,48.9000433446,2.3725090164,0,1,0,0
92,Frêne,PERIPHERIQUE,35.0,4.0,excelsior,48.879492425799995,2.40680453549,0,1,0,0
93,Tilleul,Alignement,60.0,10.0,x europaea,48.8833215508,2.37019934777,0,0,1,0
95,Sophora,Alignement,105.0,20.0,japonica,48.8791815828,2.40077506686,1,0,0,0
